name,city,address,monthly_rent,bedrooms,senior_type,phone,website,review_score,review_count,review_source,lat,lon,km_to_405_520,km_to_redmond_addr,km_to_midpoint,notes
Park Plaza Apartments,Bellevue,"100 98th Ave NE, Bellevue, WA 98004",3700,"studio,1BR,2BR",55+,unknown,https://www.apartments.com/park-plaza-apartments-bellevue-wa/md5d50k/,unknown,unknown,unknown,47.612884,-122.209135,2.4,8.16,5.26,"Market-rate 55+, 26 units, near Bellevue Square. Higher rent."
Kirkland Place (KCHA),Kirkland,"419 Seventh Ave, Kirkland, WA 98033",income-based,2BR,55+,206-574-1100,https://www.kcha.org/housing/property.aspx?PropertyID=55,unknown,unknown,unknown,47.68029,-122.200818,5.81,6.5,5.44,"KCHA subsidized, 2BR, downtown Kirkland. Mixed population. Verify waitlist."
Kirkland Plaza,Kirkland,"320 6th Ave, Kirkland, WA 98033",income-based,1BR,62+,425-474-5610,https://www.kirklandplazaseniorhousing.com/,unknown,unknown,unknown,47.680099,-122.203168,5.82,6.66,5.53,"Imagine Housing, 41 1BR, project-based Sec 8 <50% AMI. Near downtown Kirkland & senior center."
Athene Senior Housing,Kirkland,"12531 NE 124th St, Kirkland, WA 98034",741-1350,"studio,1BR,2BR",62+,425-274-1610,https://www.atheneseniorhousing.com/,unknown,unknown,unknown,47.709528,-122.172664,9.05,7.04,7.56,"Imagine Housing affordable, 91 units, 30-60% AMI. On-site case mgr. Low rent. No on-site parking."
Ardea Senior Apartments,Kirkland,"12700 116th Ave NE, Kirkland, WA 98034",999-1656,"studio,1BR",62+,425-842-0192,https://www.ardeaseniorapartments.com/,unknown,unknown,unknown,47.714149,-122.185943,9.49,8.03,8.29,"New (2026) 62+ tax-credit, 170 units, Totem Lake. Verify move-in availability. Rent near target."
Reunion at Redmond Ridge,Redmond,"11315 Trilogy Pkwy NE, Redmond, WA 98053",1795-3129,"studio,1BR,2BR,3BR",55+,425-434-9700,https://reunionatredmondridge.mgproperties.com/,3.7,52,ApartmentRatings,47.69867,-122.023867,14.52,8.69,11.6,"Market-rate 55+ active-adult, 321 units (285 ARCH income-restricted). Fitness, yoga. No care."
Greenbrier Heights Senior Apartments,Woodinville,"14390 NE 189th Pl, Woodinville, WA 98072",808-1986,"1BR,2BR",62+,425-481-4497,https://circliving.org/community/greenbrier-senior-apartments/,unknown,unknown,unknown,47.764648,-122.148017,15.39,12.2,13.58,"Income-restricted 30/50/60% AMI, accepts Sec 8. 50 units. Van service. Only true 62+ rental in Woodinville."
Issaquah Gardens,Issaquah,"845 2nd Ave NW, Issaquah, WA 98027",100-1900,1BR,62+,425-557-5842,https://www.lowincomehousing.us/det/98027-2455-issaquah_gardens,unknown,unknown,unknown,47.538772,-122.04032,14.91,14.43,14.38,"HUD Section 202, 35 1BR units. Pet-friendly. Apply at mgmt office."
Eastridge House (KCHA),Issaquah,"120 W Sunset Way, Issaquah, WA 98027",income-based,1BR,55+,206-574-1141,https://www.kcha.org/housing/property.aspx?PropertyID=32,unknown,unknown,unknown,47.53227,-122.052589,14.76,14.74,14.46,"KCHA subsidized, 55+/disabled, ~35 units, built 1972. No Sec 8. Downtown Issaquah. Waitlist."
Gilman Square,Issaquah,"360 NW Dogwood St, Issaquah, WA 98027",income-based,"2BR,4BR",senior,425-392-0570,https://home.securityproperties.com/gilmansquare/,unknown,23,Yelp,47.534395,-122.043176,15.08,14.79,14.65,NOT dedicated senior - mixed families/55+/disabled. KCHA + moderate-income units. Verify age-eligible units.
Hutchison House,Issaquah,"105 Mt Park Blvd SW, Issaquah, WA 98027",income-based,"studio,1BR",62+,425-392-9139,https://www.apartments.com/hutchison-house-apartments-issaquah-wa/49j81pj/,unknown,6,ApartmentRatings,47.523939,-122.044629,15.84,15.82,15.56,"HUD subsidized 62+, smoke-free, fitness center, gated. Mixed reviews on maintenance."
Marcus Place (Catholic Housing Svcs),Bellevue,"Bellevue, WA (address unconfirmed - call CCS)",income-based,"1BR,2BR",62+,425-747-5111,https://ccsww.org/services/senior-housing/,unknown,unknown,unknown,,,unknown,unknown,unknown,"Project-based HUD 62+, 50 units. Income <=50% median. Address unconfirmed - distances unavailable."
