name,city,address,monthly_rent,bedrooms,senior_type,score,phone,km_to_midpoint,notes
Vasa Creek Woods Senior Apartments,Bellevue,"15406 SE Newport Way, Bellevue, WA 98006",945-1283,"studio,1BR,2BR",62+,79.0,425-641-6060,7.49,"Income-restricted 62+ senior community, Eastgate/Lakemont. Community room, activities, van transportation. Rent near target. Verify waitlist."
Kirkland Place (KCHA),Kirkland,"419 Seventh Ave, Kirkland, WA 98033",income-based,2BR,55+,77.3,206-574-1100,6.01,"KCHA subsidized, 2BR, downtown Kirkland. Mixed population. Verify waitlist."
Kirkland Plaza,Kirkland,"320 6th Ave, Kirkland, WA 98033",income-based,1BR,62+,77.3,425-474-5610,6.1,"Imagine Housing, 41 1BR, project-based Sec 8 <50% AMI. Near downtown Kirkland & senior center."
Kirkwood Terrace,Kirkland,"11925 NE 81st Circle, Kirkland, WA 98033",income-based,"2BR,3BR townhomes",55+,75.0,206-574-1143,5.02,"KCHA subsidized townhomes w/ community building. MIXED population (families/55+/disabled), seniors 55+ eligible. Waitlist - not accepting applications."
Athene Senior Housing,Kirkland,"12531 NE 124th St, Kirkland, WA 98034",741-1350,"studio,1BR,2BR",62+,74.6,425-274-1610,8.28,"Imagine Housing affordable, 91 units, 30-60% AMI. On-site case mgr. Low rent. No on-site parking."
Plum Court,Kirkland,"451 4th Ave S, Kirkland, WA 98033",income-based,"1BR,2BR,3BR",55+,74.0,425-827-3707,5.38,"KCHA-affiliated (CIRC-managed) affordable, downtown Kirkland near senior center. MIXED - KCHA lists 55+, site markets general affordable. Verify age restriction; waitlist may be closed."
Slater Park,Kirkland,"12604 NE 119th St, Kirkland, WA 98033",income-based,1BR,62+,72.5,206-574-1143,8.46,"KCHA subsidized SENIOR property, Totem Lake. Very small (~5 1BR units) w/ in-unit washer/dryer. Long waitlist due to few units."
Ardea Senior Apartments,Kirkland,"12700 116th Ave NE, Kirkland, WA 98034",999-1656,"studio,1BR",62+,72.4,425-842-0192,8.99,"New (2026) 62+ tax-credit, 170 units, Totem Lake. Verify move-in availability. Rent near target."
Casa Juanita,Kirkland,"9821 NE 122nd St, Kirkland, WA 98034",income-based,1BR,62+,71.5,206-574-1143,9.58,"KCHA subsidized SENIOR building, 80 1BR units in Juanita. Section 8 accepted. Long waitlist (~700+ households); may not be accepting applications."
Village Plaza,Kirkland,"11825 100th Ave NE, Kirkland, WA 98034",income-based,unknown,55+,70.0,206-574-1143,8.48,"KCHA subsidized, South Juanita. MIXED population (families/55+/disabled), seniors 55+ eligible. Waitlist - not accepting applications."
Reunion at Redmond Ridge,Redmond,"11315 Trilogy Pkwy NE, Redmond, WA 98053",1795-3129,"studio,1BR,2BR,3BR",55+,68.2,425-434-9700,12.01,"Market-rate 55+ active-adult, 321 units (285 ARCH income-restricted). Fitness, yoga. No care."
Juanita Court,Kirkland,"9926 NE 126th St, Kirkland, WA 98034",income-based,"2BR,3BR townhomes",55+,68.0,206-574-1143,9.68,"KCHA subsidized townhomes, Juanita. MIXED population (families/55+/disabled), not senior-only. Waitlist - not accepting applications."
Cedarwood,Kirkland,"14415 123rd Lane NE, Kirkland, WA 98034",income-based,"2BR,3BR townhomes",55+,66.0,206-574-1143,11.19,"KCHA subsidized townhomes, Kingsgate. MIXED population (families/55+/disabled), not senior-only. Waitlist - not accepting applications."
Marcus Place (Catholic Housing Svcs),Bellevue,"Bellevue, WA (address unconfirmed - call CCS)",income-based,"1BR,2BR",62+,60.0,425-747-5111,unknown,"Project-based HUD 62+, 50 units. Income <=50% median. Address unconfirmed - distances unavailable."
Greenbrier Heights Senior Apartments,Woodinville,"14390 NE 189th Pl, Woodinville, WA 98072",808-1986,"1BR,2BR",62+,56.3,425-481-4497,14.3,"Income-restricted 30/50/60% AMI, accepts Sec 8. 50 units. Van service. Only true 62+ rental in Woodinville."
Park Plaza Apartments,Bellevue,"100 98th Ave NE, Bellevue, WA 98004",3700,"studio,1BR,2BR",55+,54.8,unknown,4.83,"Market-rate 55+, 26 units, near Bellevue Square. Higher rent."
Samma Senior Apartments,Bothell,"17910 Bothell Way NE, Bothell, WA 98011",income-based,"studio,1BR",55+,52.0,425-675-5252,13.81,"Imagine Housing SENIOR-only, 76 units, <50% AMI. North Eastside (Bothell), ~15-20 min from Redmond/Kirkland - borderline area. Income-restricted."
Issaquah Gardens,Issaquah,"845 2nd Ave NW, Issaquah, WA 98027",100-1900,1BR,62+,47.4,425-557-5842,13.81,"HUD Section 202, 35 1BR units. Pet-friendly. Apply at mgmt office."
Eastridge House (KCHA),Issaquah,"120 W Sunset Way, Issaquah, WA 98027",income-based,1BR,55+,46.8,206-574-1141,13.85,"KCHA subsidized, 55+/disabled, ~35 units, built 1972. No Sec 8. Downtown Issaquah. Waitlist."
Gilman Square,Issaquah,"360 NW Dogwood St, Issaquah, WA 98027",income-based,"2BR,4BR",senior,46.6,425-392-0570,14.06,NOT dedicated senior - mixed families/55+/disabled. KCHA + moderate-income units. Verify age-eligible units.
Hutchison House,Issaquah,"105 Mt Park Blvd SW, Issaquah, WA 98027",income-based,"studio,1BR",62+,44.4,425-392-9139,14.95,"HUD subsidized 62+, smoke-free, fitness center, gated. Mixed reviews on maintenance."
Cedar River Court,Renton,"130 Main Ave S, Renton, WA 98057",income-based,"1BR,2BR",55+,40.0,425-533-2175,17.98,"SHAG affordable active-SENIOR apartments, downtown Renton. Household 55+ (one member 61+/disabled). Pet-friendly. Renton is outside priority cities - farther south."
Vantage Point,Renton,"17901 105th Pl SE, Renton, WA 98055",income-based,1BR,62+,36.0,206-315-4379,22.38,"KCHA SENIOR building (2015), 4-story, by North Benson Shopping Center. HUD score 94. Renton - far south, waitlist likely."
Glenview Heights,Renton,"10405 SE 172nd St, Renton, WA 98055",income-based,unknown,55+,36.0,206-574-1100,21.97,"KCHA subsidized, Benson Hill. MIXED population (families/55+/disabled), not senior-only. Renton - far south."
Vista Heights,Renton,"18415 108th Ave SE, Renton, WA 98055",income-based,2BR+ manufactured homes,55+,34.0,206-574-1100,23.05,"KCHA subsidized manufactured-home community, Benson Hill. MIXED population (families/55+/disabled). Renton - far south. Not accepting applications."
Wildwood Court Apartments,Bellevue,"434 102nd Ave SE, Bellevue, WA 98004",call for pricing,unknown,senior,unknown,844-674-3762,unknown,"Low-income/affordable senior housing near Factoria, Bellevue. Bedroom count unconfirmed. Verify age restriction and pricing by phone."
Wells Wood,Woodinville,"18100 142nd Ave NE, Woodinville, WA 98072",income-based,"1BR+ townhomes",55+,unknown,206-574-1141,unknown,"KCHA subsidized property open to seniors 55+. Woodsy setting, townhome-style options. Woodinville - farther north, verify waitlist."
